##### Argentina #####;;;;;;;;;;;;;;x
a_telegraph_line_to_uruguay_title;铺设至乌拉圭的电报线;;;;;;;;;;;;x
a_telegraph_line_to_uruguay_desc;在布宜诺斯艾利斯与蒙得维的亚之间铺设电报线的计划已经被提出。这将极大地提升两国之间的交流与关系。;;;;;;;;;;;;;x
found_the_school_of_military_aviation_title;成立军事航空学校;;;;;;;;;;;;x
found_the_school_of_military_aviation_desc;1912年总统罗克·萨恩斯·佩尼亚（Roque Saenz Pena Lahitte）下令成立军事航空学校（Escuela de Aviacion Militar，EAM），并任命Arenales Antonio Uriburu上校为其首任校长。这代表了阿根廷对学习与实践现代空战新理论的热情。;;;;;;;;;;;;;x
##### Austria #####;;;;;;;;;;;;;;x
slovene_language_at_celje_gymnasium_title;采列学校的斯洛文尼亚语;;;;;;;;;;x;;;x
slovene_language_at_celje_gymnasium_desc;1888年开始，帝国议会里的斯洛文尼亚议员发起要求在采列（Celje）的文理高中（Gymnasium）开设斯洛文尼亚语课。采列是一座位于下施蒂利亚的城镇，虽然历史上属于德意志但是但是当地人口大多数却是斯洛文尼亚人。德意志议员集会抗议新议案，在历史上属于德意志但是却逐渐成为斯拉夫民族定居点的这么一个城镇里语言使用的问题引起了奥地利社会的热议。;;;;;;;;;;X;;;x
act_on_language_in_bohemia_title;有关波希米亚语言的法案;;;;;;;;;;;;x
act_on_language_in_bohemia_desc;捷克民族主义的兴起导致激进的捷克政治家越来越多地要求波希米亚的改革，他们的目的是让捷克语在波希米亚的内部管理机构成为与德语平等的官方语言，同时要求所有官员都通晓两种语言。奥地利首相巴德尼为了获得捷克人在议会中的支持而提出了一条法案以满足捷克人的要求。波希米亚德裔谴责这一提出的法案，他们认为这一法案对德意志人不公平，因为当捷克人在学校同时学习捷克语与德语两种语言时德意志人却不需要学习捷克语。;;;;;;;;;;;;;x
the_final_abolishment_of_serfdom_title;农奴制的最终废除;;;;;;;;;;;;x
the_final_abolishment_of_serfdom_desc;受到了1848年帝国境内众多革命的影响，一些改革者认为为了平息不满的农奴只有在帝国上下废除农奴制。一些人提倡地主以获得土地价值二分之三的补偿为条件解放农奴。这笔补偿金的一半将由政府支付，而另一半将由农奴自己负责。;;;;;;;;;;;;;x
##### Brazil #####;;;;;;;;;;;;;;x
state_visit_to_argentina_title;访问阿根廷;;;;;;;;;;;;x
state_visit_to_argentina_desc;坎波斯·萨莱斯（Campos Sales）总统被邀请正式访问布宜诺斯艾利斯以加强两国的关系。然而智利媒体由于受到近日智利与阿根廷紧张关系的影响，怀疑我们准备与阿根廷建立反智同盟。我们应该接受邀请吗？;;;;;;;;;;;;;x
##### Ecuador #####;;;;;;;;;;;;;;x
establish_the_observatorio_astronomico_title;建立天文观测台;;;;;;;;;;;;x
establish_the_observatorio_astronomico_desc;基多既位于安第斯山之上又跨域赤道，这一系列的优良条件吸引了许多科学家前来观星。受到耶稣会以及英、法、美、德科学团体的支持的厄瓜多尔政府资助建立了一所新的观测台，这所观测台使用最先进的技术与器材。我们应该支持这一工程吗？;;;;;;;;;;;;;x
##### Paraguay #####;;;;;;;;;;;;;;x
paraguayan_law_of_the_free_womb_title;出生自由法;;;;;;;;;;;;x
paraguayan_law_of_the_free_womb_desc;1842年卡洛斯·安东尼奥·洛佩斯（Carlos Antonio Lopez）虽然没有解放奴隶，但是颁布了《出生自由法（Law of the Free Womb）》，这一法案不仅终结了奴隶贸易并且保证所有奴隶的孩子都可以在25岁获得自由。不过新法案事实上仅仅是为了促成飙升的奴隶出生率以增加奴隶人口与压低奴隶价格而已。;;;;;;;;;;;;;x
reaffirm_paraguayan_independence_title;重申巴拉圭独立;;;;;;;;;;;;x
reaffirm_paraguayan_independence_desc;1842年11月25日，大会在亚松森召开以重申巴拉圭从阿根廷独立，这提升了巴拉圭人的民族自豪感。;;;;;;;;;;;;;x
start_the_campaign_against_the_guaranis_title;驱赶瓜拉尼人;;;;;;;;;;;;x
start_the_campaign_against_the_guaranis_desc;1843年，洛佩斯发动了一场血腥的战役以驱赶定居于马黛茶产区的瓜拉尼印第安人。此后洛佩斯将马黛茶与可出口的木材列为国家财产。;;;;;;;;;;;;;x
student_exchange_and_importation_of_technicians_title;学员交换与输入技术员;;;;;;;;;;x;;;x
student_exchange_and_importation_of_technicians_desc;卡洛斯·安东尼奥·洛佩斯（Carlos Antonio Lopez）关心工业的发展，因此他并未随意挥霍从出口皮革与马黛茶得来的收入，也没有肆意向进口的工业产品施加关税，这位新独裁者选择提升国家的科技专业化水平，以提高国内生产力。于是，巴拉圭的学生被源源不断地送出国外学习，而大量国外的技术员也被聘用至巴拉圭。;;;;;;;;;;X;;;x
send_solano_lopez_to_europe_title;送索拉诺·洛佩斯去欧洲;;;;;;;;;;x;;;x
send_solano_lopez_to_europe_desc;佛朗西斯科·索拉诺·洛佩斯（Francisco Solano Lopez）是卡洛斯·安东尼奥·洛佩斯的儿子，1853年他前往欧洲为巴拉圭军购买武器。在欧洲他与艾莉萨·琳琪（Elisa Alicia Lynch）邂逅并坠入爱河，这位女子将一直陪侍在洛佩斯左右直到他最后的日子。在欧洲他还钦佩于拿破仑三世的法兰西帝国的豪华派头。;;;;;;;;;;X;;;x
##### Sardinia #####;;;;;;;;;;;;;;x
recognize_argentinas_independence_title;承认阿根廷独立;;;;;;;;;;;;x
recognize_argentinas_independence_desc;我们的内阁正在分析访问阿根廷的决定。这一行动不仅可以加强我们与南美国家的关系，还可以为我们的贸易提供新的天地。当然，西班牙是不会认为这是一个“好”决定的。;;;;;;;;;;;;;x
##### Two Sicilies #####;;;;;;;;;;;;;;x
the_vesuvius_observatory_title;维苏威观测站;;;;;;;;;;;;x
the_vesuvius_observatory_desc;为了研究维苏威火山的活动，波旁的斐迪南二世下令建立维苏威观测站。作为维苏威观测站的领导者的帕尔米耶里（Luigi Palmieri）首次使用地震仪作为工具以记录和预测火山喷发。;;;;;;;;;;;;;x
