;;;;;;;;;;;;x,,,,,,,
firepower_doctrine;火力学说;;;;;;;;;;;;x,,,,,,,
firepower_doctrine_desc;战争原则之一，通过使用先进武器以及以更强的火力压制敌人这一能力抢占优势;;;;;;;;;;;;x,,,,,,
superior_mobility_doctrine;机动学说;;;;;;;;;;;;x,,,,,,,
superior_mobility_doctrine_desc;坦克和摩托化不再利用马匹来获得更多的机动性，这意味着部队包抄敌人的能力大大增强了。作战方式永远都是被改变的;;;;;;;;;;;;x,,,,,,,
motorised_infantry;摩托化步兵;;;;;;;;;;;;x,,,,,,,
motorised_infantry_desc;摩托化步兵是发展军队机械化的第一步。民用卡车轻松转化为军事用途，用于运送士兵，拖拽机枪，装载装备及供给。这大大增加了步兵单位的战略机动性，取代了原有的步行及铁路运输;;;;;;;;;;;;x,,,,
motorised_infantry_doctrine;摩托化步兵学说;;;;;;;;;;;;x,,,,,,,
motorised_infantry_doctrine_desc;使用车辆快速将步兵补给单位从一个战斗区域投送到另一个是现代化军队进化的第一步;;;;;;;;;;;;x,,,,,,,
heavy_support_doctrine;重火力支援学说;;;;;;;;;;;;x,,,,,,,
heavy_support_doctrine_desc;将重炮加入武器库意味着改变了我们的战争消耗方式;;;;;;;;;;;;x,,,,,,,
siege_doctrine;围攻学说;;;;;;;;;;;;x,,,,,,,
siege_doctrine_desc;从城堡堡垒时代以来改进防御工事的方法得到了极大的提升，因此我们的围攻也必须改变策略;;;;;;;;;;;;x,,,,,,
grand_battle_plan_doctrine;决战计划学说;;;;;;;;;;;;x,,,,,,,
grand_battle_plan_doctrine_desc;传统的战争规划方式已经改变，主要是因为古旧的思考方式不再适用于现代战争。我们的将军们必须保持了解最新科技，以避免先进技术处于无用武之地;;;;;;;;;;;;x,,,,,
superior_firepower_doctrine;优势火力学说;;;;;;;;;;;;x,,,,,,,
superior_firepower_doctrine_desc;由于武器火力和破坏力的持续提升，我们必须为此支付更多的费用。我们必须挖掘新的宣战理由，这不仅可以为我们更强大的火力买单，同时也可以消耗他国的实力;;;;;;;;;;;;x,,,,,
human_wave_doctrine;人海战术学说;;;;;;;;;;;;x,,,,,,,
human_wave_doctrine_desc;不是每个国家都能够安置大量的士兵，无论装备好坏，但是那样的国家需要学会使用人潮带来的优势。即使是最先进的防御者，也忍受不了这种单调的无止境的进攻;;;;;;;;;;;;x,,,,,
spearhead_doctrine;装甲先锋;;;;;;;;;;;;x,,,,,,,
spearhead_doctrine_desc;武装力量的机动性提升意味着我们尖刀进攻策略的改进，我们相信军力能够穿过敌军前线，并在敌军发现之前从两翼完成包抄。这正是武装战斗的未来;;;;;;;;;;;;x,,,,,,
iron_small_arms_production;铁制轻型武器生产;;;;;;;;;;;;x,,,,,,,
iron_small_arms_production_desc;我们改进了生产新型武器的方法。这些需要转交给我们的工厂，以保证武器的大量生产;;;;;;;;;;;;x,,,,,,
steel_small_arms_production;钢制轻型武器生产;;;;;;;;;;;;x,,,,,,,
steel_small_arms_production_desc;我们改进了生产新型武器的方法。这些需要转交给我们的工厂，以保证武器的大量生产;;;;;;;;;;;;x,,,,,,
bronze_artillery_production;铜制轻型武器生产;;;;;;;;;;;;x,,,,,,,
bronze_artillery_production_desc;我们改进了火炮生产的工艺流程。这些需要转交给我们的工厂，以确保现代火炮能被大规模生产以装备我们的部队;;;;;;;;;;;;x,,,,,,
carronade;大口径短炮;;;;;;;;;;;;x,,,,,,,
carronade_desc;臼炮是一种发射铁质炮弹的短滑膛炮，用于18世纪70年代至19世纪50年代。它火力强大，射程短，主要功能为反舰反船员。早期被认为是非常有效的，后来由于长距离海军火炮的出现导致近距离交战愈发稀少，逐渐退出了历史舞台;;;;;;;;;;;;x,,,
iron_artillery_production;铁炮生产;;;;;;;;;;;;x,,,,,,,
iron_artillery_production_desc;我们改进了火炮生产的工艺流程。这些需要转交给我们的工厂，以确保现代火炮能被大规模生产以装备我们的部队;;;;;;;;;;;;x,,,,,,
twelve_pounder;韦特沃斯后膛来福炮;;;;;;;;;;;;x,,,,,,,
twelve_pounder_desc;12磅加农顾名思义，是一种能够发射12磅重炮弹的火炮，它同时也能够发射散弹，链锁弹，榴霰弹，以及后来出现穿甲弹及子母弹;;;;;;;;;;;;x,,,
rifled_barrels;来福枪管;;;;;;;;;;;;x,,,,,,,
rifled_barrels_desc;膛线是指在枪管或炮膛中制作出的螺旋状切槽，可以让子弹在发射过程中沿槽线旋转。旋转用来让发射的子弹如陀螺般稳定，以达到改善其空气动力方面的稳定性及精准度;;;;;;;;;;;;x,,,,,
76_millimeter_gun;76毫米炮;;;;;;;;;;;;x,,,,,,,
76_millimeter_gun_desc;炮兵武器开始变得越来越大，但是仍然可以满足运输要求。这些武器正预示着现代战争的未来趋势;;;;;;;;;;;;x,,,,,,
railroad_guns;列车炮;;;;;;;;;;;;x,,,,,,,
railroad_guns_desc;铁路炮是一种大型火炮，在海战中无法使用，因为它被安装在特制的火车上，运输及开火都只能在铁路上实现;;;;;;;;;;;;x,,,,
howitzer;榴弹炮;;;;;;;;;;;;x,,,,,,,
howitzer_desc;榴弹炮使用了相对较短的炮管，使用少量的助推剂使炮弹发射较高，然后以比较陡的角度下落;;;;;;;;;;;;x,,,,,,
mortar;迫击炮;;;;;;;;;;;;x,,,,,,,
mortar_desc;迫击炮可以进行间接攻击，射速低，射程短，弹道弧线高。它使用典型的枪口装弹，炮膛长度略短于口径的15倍;;;;;;;;;;;;x,,,,,
self_propelled_artillery;自走炮;;;;;;;;;;;;x,,,,,,,
self_propelled_artillery_desc;火炮的短板正在于缺乏机动性，考虑到机动性正快速成为军队现代化的标志，其改进方式明显趋向于如何快速的将火炮从一个前线转移到另一个。;;;;;;;;;;;;x,,,,,
tinned_fruit;水果罐头;;;;;;;;;;;;x,,,,,,,
tinned_fruit_desc;将水果保存在锡罐中正是大规模食品加工的早期方式之一，这使得食品可以在远离生产区的地方被消耗;;;;;;;;;;;;x,,,,,,
The_New_Deal;新政;;;;;;;;;;;;x,,,,,,,
The_New_Deal_desc;罗斯福新政主要目的是用来消除经济衰退，要点有三：救济，恢复和改革。即，救济失业者及贫困者，恢复经济至正常水平，改革金融体系以防止再次出现衰退;;;;;;;;;;;;x,,
inclosure;圈地;;;;;;;;;;;;x,,,,,,,
inclosure_desc;圈地是用来中止一些传统权力，比如在他人拥有的土地上收割牧草，放牧。圈地过程中，这样的土地被围地来并与一个或多个拥有者签订契约或让渡使用权。到19世纪为止，未被圈维的土地仅大规模集中在群山无法放牧的地区以及低地中较小的地块;;;;;;;;;;;;x,,,
regenerative_forestry;再生林业;;;;;;;;;;;;x,,,,,,,
regenerative_forestry_desc;采伐国有森林必须采用新的管理方法，由于采伐技术的进一步发展导致采伐速度加快，我们必须保证这类资源的可持续性。;;;;;;;;;;;;x,,,,,,
freud;西格蒙德·弗洛伊德;;;;;;;;;;;;x,,,,,,,
freud_desc;西格蒙德·弗洛伊德，奥地利精神病医生并创立了精神分析学派。最为著名的是他关于潜意识及精神抑制机制方面的理论，并创造了使用精神分析法分析病人及心理医师间的对话并进行精神治疗的临床疗法。弗洛伊德认为性冲动是人类生命的主要动力，发展了比如使用自由联想的治疗方法，发现了治疗关系中发生的转移现象并奠定了其在分析过程的中心地位。;;;;;;;;;;;;x,,,,
jung;卡尔·荣格;;;;;;;;;;;;x,,,,,,,
jung_desc;卡尔·古斯塔夫·荣格，瑞士心理学家，有影响力的思想家，分析心理学的创始人。荣格被认为是第一位现代心理学家并指出人类心理是被“自然宗教”所引导并将其进一步深化。在梦的解析领域，他也许不是最早的，但是他可能是最著名的先锋之一。不同于弗洛伊德，他自认为是自然科学家而不是理论心理学家。这个显著的差别体现在深入观察的初始就必须进行分类，而不是相反先想象属于哪种分类，再寻找证据来证明其正确性。;;;;;;;;;;;;x,,,
military_psychology;军事心理学;;;;;;;;;;;;x,,,,,,,
military_psychology_desc;对敌我及国民产生的，可能会对军事行动产生直接或间接以及潜在的伤害的行动进行理解，预测及反击，军事心理学对这类相关的理论和实验数据进行研究，思考及应用。它可以用来缓解或治疗军人或军人家庭的压力及疲劳，以及治疗由军事行动带来的心理创伤;;;;;;;;;;;;x,,,,
spinning_jenny;珍妮纺纱机;;;;;;;;;;;;x,,,,,,,
spinning_jenny_desc;珍妮纺纱机是一种有多个纱锭的纺纱机器。由于工人能够同时操作八个或者更多的纱锭，从而降低了生产纱线的工作量。它大大提高了纺织工业的生产效率，并成为了在以纱线生产为支柱产业的国家发生工业革命的导火索;;;;;;;;;;;;x,,,,,
seafood_packing;海产包装;;;;;;;;;;;;x,,,,,,,
seafood_packing_desc;食品保鲜技术使其消耗可以在远离产区的地方实现，这助长了大型城市中心的发展。;;;;;;;;;;;;x,,,,,,
logging;集材;;;;;;;;;;;;x,,,,,,,
logging_desc;伐木业的出现意味着开始系统规划的采伐国有木材资源，从而取代了与农民类似，传统无组织的伐木工乱砍滥伐，随意销售的状况。;;;;;;;;;;;;x,,,,,,
alite;水泥石;;;;;;;;;;;;x,,,,,,,
alite_desc;水泥石是硅酸三钙的通俗名称。这也是波特兰水泥的主要特色矿物相;;;;;;;;;;;;x,,,,,
mechanised_plantations;机械化种植;;;;;;;;;;;;x,,,,,,,
mechanised_plantations_desc;种植园引入机械化农耕，从而加快了收获速度，并扩大了单个农民可管理的土地范围。因此解放了大量的劳动力，进而促进了城市中心的成长;;;;;;;;;;;;x,,,,,
portland_cement;波特兰水泥;;;;;;;;;;;;x,,,,,,,
portland_cement_desc;波特兰水泥是全世界最普遍的水泥，是混凝土，砂浆，粉饰灰泥等其他非特种水泥浆的基础原料;;;;;;;;;;;;x,,,,,
cattle_breeding_program;牲畜育种;;;;;;;;;;;;x,,,,,,,
cattle_breeding_program_desc;新的畜牧养殖方式促进了牛马群数量的爆发，也让牧场主可以管理远超过现在所拥有的种群数量;;;;;;;;;;;;x,,,,,,
cattle_trucks;运牛卡车;;;;;;;;;;;;x,,,,,,,
cattle_trucks_desc;引进汽车还有一个附带的好处：开发的运牛卡车大到足以同时运载多只牛，这加快了提供出栏肉畜的过程。;;;;;;;;;;;;x,,,,,,
tree_plantations;林场;;;;;;;;;;;;x,,,,,,,
tree_plantations_desc;为木材砍伐专门创建的人工林场的发展改变了木材砍伐对自然林的依赖。;;;;;;;;;;;;x,,,,,,,
advanced_machining_techniques;先进机械技术;;;;;;;;;;;;x,,,,,,,
advanced_machining_techniques_desc;随着我国对机械生产的熟悉度提升，机械制造业的生产工艺也有了长足发展。新的工艺流程被引进，用来降低工业零部件制作过程中对人类劳力的依赖;;;;;;;;;;;;x,,,,,,
advanced_drilling_techniques;先进钻探技术;;;;;;;;;;;;x,,,,,,,
advanced_drilling_techniques_desc;地底石油开采新方法的出现意味着可以以一种更为有效的方式获取这种资源;;;;;;;;;;;;x,,,,,,
mechanized_farming_equipment;机械化农业设备;;;;;;;;;;;;x,,,,,,,
mechanized_farming_equipment_desc;传统收获方式随着新型机械的生产而逐渐被遗弃。这也大大加快了农场收获速度，并扩大了单个农场的覆盖面积;;;;;;;;;;;;x,,,,,
mechanized_wells;机械化油井;;;;;;;;;;;;x,,,,,,,
mechanized_wells_desc;通过自动化机械泵油机械大大增加单井的产油能力。这种机械已经生产以及开始热卖。;;;;;;;;;;;;x,,,,,,,
industrial_farming;农产品加工业;;;;;;;;;;;;x,,,,,,,
industrial_farming_desc;个体或家庭农场这一观念逐渐成为历史。食品制造业是工业的一种，而且农场机械的成本也超出了个人承受范围。大型商业开始进驻，建设工业化农场使其更接近工厂这一概念;;;;;;;;;;;;x,,,,,
nitrate_extraction_process;硝酸盐的提取;;;;;;;;;;;;x,,,,,,,
nitrate_extraction_process_desc;化学的发展让我们进一步改进了提取所需硝酸盐的方法;;;;;;;;;;;;x,,,,,,
copper_pits;铜矿坑;;;;;;;;;;;;x,,,,,,,
copper_pits_desc;开采铜矿的方法缓慢的进行发展，提升了我们提炼矿石的能力，并让个体铜矿的生产效率大幅提高;;;;;;;;;;;;x,,,,,,
zinc_alloys;锌合金;;;;;;;;;;;;x,,,,,,,
zinc_alloys_desc;锌，也就是通常所说的粗锌，被广泛运用于合金的制造。合金制造工艺影响了我们青铜制造的发展;;;;;;;;;;;;x,,,,,
brass;黄铜;;;;;;;;;;;;x,,,,,,,
brass_desc;青铜一般是指铜锡合金，而黄铜则是铜锌合金。黄铜因其黄金版闪亮的外形而常被用于装饰，除此之外，它还常被用于制造要求磨损消耗低的物品，如锁，齿轮，轴承，弹药和阀门等。;;;;;;;;;;;;x
poudre_b;无烟火药;;;;;;;;;;;;x,,,,,,,
poudre_b_desc;B炸药，意为‘发白的粉’或‘白色粉末’，是第一款无烟火药，相同重量的情况下，威力是黑色炸药的三倍;;;;;;;;;;;;x,,,,,
cordite;无烟线状火药;;;;;;;;;;;;x,,,,,,,
cordite_desc;无烟火药是一系列用来取代火药的无烟助推剂。它被广泛运用于大型武器，如坦克炮，火炮及舰炮。;;;;;;;;;;;;x,,,,,,
genetics_heredity;基因与遗传学;;;;;;;;;;;;x,,,,,,,
genetics_heredity_desc;我们才刚开始理解性状是如何从父到子遗传的，以及将会造成的影响，比如遗传病的出现。未来，我们也许可以掌握消除这些的能力;;;;;;;;;;;;x,,,,,
pharmaceuticals;药品;;;;;;;;;;;;x,,,,,,,
pharmaceuticals_desc;医学进步使得药方的正确使用得到进一步发展，尤其是在使用麻醉剂类药物方面，更为科学的治疗方式取代了传统方法;;;;;;;;;;;;x,,,,,
artficial_nitrates;人造硝酸盐;;;;;;;;;;;;x,,,,,,,
artficial_nitrates_desc;化学的发展引导了人造硝酸盐的进步，减少了我们对硫磺生产过程中析出的天然硝酸盐的依赖;;;;;;;;;;;;x,,,,,,
synthetic_rubber;合成橡胶;;;;;;;;;;;;x,,,,,,,
synthetic_rubber_desc;化学合成橡胶迅速被运用于各种工业领域，有效的减少了我们对于天然橡胶的依赖;;;;;;;;;;;;x,,,,,
penicillin;青霉素;;;;;;;;;;;;x,,,,,,,
penicillin_desc;从青霉菌中分离产生的抗生素意义重大，因为他们是第一批能够治疗多种疾病比如梅毒及金黄色葡萄球菌感染的有效药物;;;;;;;;;;;;x,,,,,,
methyl_isoprene;甲基异戊间二烯;;;;;;;;;;;;x,,,,,,,
methyl_isoprene_desc;异戊二烯的发展将使我们的橡胶厂能够生产更好的人造橡胶，甚至远远优于天然橡胶。;;;;;;;;;;;;x,,,,,,
the_open_door;门户开放;;;;;;;;;;;;x,,,,,,,
citizenship_tests;公民资格测验;;;;;;;;;;;;x,,,,,,,
passports;护照;;;;;;;;;;;;x,,,,,,,
franz_boas;F.博厄斯;;;;;;;;;;;;x,,,,,,,
franz_boas_desc;法兰兹·鲍亚士，德裔美国人类学家，现代人类学先驱，被称为“现代人类学之父”。他采用了科学方法来研究人类文化与社会。在这之前，这门学科是根据大量传闻来进行理论推导的;;;;;;;;;;;;x,,,,,,
marcel_mauss;马塞尔·莫斯;;;;;;;;;;;;x,,,,,,,
marcel_mauss_desc;马瑟·牟斯，法国社会学家。马瑟的学术成就跨越了社会学和人类学的边界。时至今日，他的影响不断扩大，尤其是一些课题如古代文化中的魔术、牺牲和礼物交换等方面;;;;;;;;;;;;x,,,,
branislaw_malinowski;马林诺夫斯基;;;;;;;;;;;;x,,,,,,,
branislaw_malinowski_desc;布罗尼斯拉夫·马林诺夫斯基，波兰人类学家，普遍认为他是最重要的现代人类学家之一，同时在社会功能论方面影响巨大。他所开创的田野调查对美拉尼西亚以及交换互惠相关现象的研究做出了巨大贡献;;;;;;;;;;;;x,,,,,
flinders_petrie;弗林德斯皮特里;;;;;;;;;;;;x,,,,,,,
flinders_petrie_desc;威廉·弗林德斯·皮特里爵士，英国埃及学家，系统化考古法的先驱。他占据了英国埃及考古学的第一把交椅，并在埃及发掘了多处重要考古遗迹，比如瑙克拉提斯，塔尼斯，阿拜多斯以及阿马尔那。部分人认为他最为著名的发现即麦伦普塔赫石碑;;;;;;;;;;;;x,,,
jg_taylor;约翰·乔治·泰勒;;;;;;;;;;;;x,,,,,,,
jg_taylor_desc;著名的英国数学物理家，人工智能领域的先驱;;;;;;;;;;;;x,,,,,,,
cl_wooley;查尔斯·伦纳德·伍利;;;;;;;;;;;;x,,,,,,,
cl_wooley_desc;查尔斯·伦纳德·伍利爵士，英国考古学家，因其在美索不达米亚发掘了乌尔而闻名于世。他被认为是第一批现代考古学家之一;;;;;;;;;;;;x,,,,,,,
arthur_evans;阿瑟·约翰·埃文斯爵士;;;;;;;;;;;;x,,,,,,,
arthur_evans_desc;阿瑟·约翰·埃文斯爵士，英国考古学家，发掘了希腊克里特岛上的克诺索斯宫殿，并根据此处及地中海东部的古代建筑发现了米诺斯文明;;;;;;;;;;;;x,,,,,,,
heinrich_schliemann;海因里希·谢里曼;;;;;;;;;;;;x,,,,,,,
heinrich_schliemann_desc;海因里希·施利曼，德国商人，考古学家，主张荷马史诗中提到的城邦是现实存在的。施利曼是特洛伊的考古发掘者，并一同发现了迈锡尼和梯林斯。他的发现帮助确认了荷马的伊利亚特以及维吉尔的埃涅阿斯纪是取自历史事实的;;;;;;;;;;;;x,,,,,
emile_dirkheim;埃米尔·迪尔凯姆;;;;;;;;;;;;x,,,,,,,
emile_dirkheim_desc;大卫·爱米尔·涂尔干，法国社会学家。他正式确立了社会学的学科地位，并同卡尔·马克思以及马克思·韦伯并列为现代社会学的奠基人;;;;;;;;;;;;x,,,,,
max_weber;马克斯·韦伯;;;;;;;;;;;;x,,,,,,,
max_weber_desc;卡尔·埃米尔·马克西米利安·韦伯，德国社会学及政治经济学家，影响了社会理论，社会研究以及社会学本身。韦伯主要著作指出资本主义以及现代性的崛起是合理而“明显”的;;;;;;;;;;;;x,,,,,
ferdinand_de_saussure;费尔迪南·德·索绪尔;;;;;;;;;;;;x,,,,,,,
ferdinand_de_saussure_desc;弗迪南·德·索绪尔，瑞士语言学家，在20世纪为现代语言学的多项发展奠定了基础。索绪尔被广泛认为是现代语言学之父;;;;;;;;;;;;x,,,,,,,
william_hamilton;威廉·汉密尔顿;;;;;;;;;;;;x,,,,,,,
william_hamilton_desc;威廉·哈密顿爵士（1805年8月4日——1865年9月2日），爱尔兰物理学家，天文学家以及数学家，为经典力学，光学以及代数做出了巨大贡献。他在光学及力学方面的研究帮助他发现了新的数学理论以及公式;;;;;;;;;;;;x,,
soren_kierkegaard;索伦·克尔凯郭尔;;;;;;;;;;;;x,,,,,,,
soren_kierkegaard_desc;索伦·奥贝·克尔凯郭尔，丹麦哲学家，神学家，擅于描写人类心理学的宗教作家。他强烈批判了许多现代哲学家以及基督教的正统及自由教派。他的作品大多表现一个人如何以“单独的个体”生活，认为有形的人类现实胜于抽象思考，以及个人选择及承诺的重要性;;;;;;;;;;;;x,,,,
the_nancy_school;南锡学派;;;;;;;;;;;;x,,,,,,,
the_nancy_school_desc;南希学派，法国早期以暗示为中心的心理治疗学派，由昂布鲁瓦兹-奥古斯特·李厄保创立。它的成就在于他们称之为“暗示疗法”的应用，以及催眠术可以有效提升暗示疗法的效果;;;;;;;;;;;;x,,,,,,
emile_coue;埃米尔·库埃;;;;;;;;;;;;x,,,,,,,
emile_coue_desc;埃米尔·库埃，法国心理学家，药剂师，形成了一套基于乐观的自我暗示的心理治疗和自我改善的方法。库埃认为，使用自己的想象来改善我们的潜意识，从而才能医治我们的某些问题\n;;;;;;;;;;;;x,,,,,,
neurology;神经学;;;;;;;;;;;;x,,,,,,,
neurology_desc;神经病学是用来医治紊乱的神经系统的一门专业学科。具体来说，它可以诊断治疗所有神经系统疾病，包括中枢神经系统、周围神经系统及自主神经系统等;;;;;;;;;;;;x,,,,
alfred_nobel;阿尔弗雷德·诺贝尔;;;;;;;;;;;;x,,,,,,,
alfred_nobel_desc;阿尔弗雷德·伯纳德·诺贝尔，瑞典化学家，工程学家，发明家，以及军工装备制造商。他发明了炸药，在遗嘱中用巨额财富设立了诺贝尔奖;;;;;;;;;;;;x,,,
archibald_scott_couper;阿奇巴德·斯科特·库珀;;;;;;;;;;;;x,,,,,,,
archibald_scott_couper_desc;阿奇博尔德·斯科特·库珀，苏格兰化学家，提出了化学结构及粘连的早期理论模型。他确立了四价碳原子互相连接在一起组成了巨大的分子的理论，以及分子中的原子的连接顺序决定其化学性质。;;;;;;;;;;;;x,,,,,,
florence_nightingale;弗洛伦斯·南丁格尔;;;;;;;;;;;;x,,,,,,,
florence_nightingale_desc;弗罗伦斯·南丁格尔，著名的英国护士，作家以及统计学家。作为基督教普世主义者，南丁格尔坚信是上帝召唤她成为一名护士。克里米亚战争期间她前往战场对受伤的战士进行护理，开创了护理事业。由于她在夜间手执风灯巡视而被称为“提灯女神”;;;;;;;;;;;;x,,,,
dmitri_mendeleev;德米特里·门捷列夫;;;;;;;;;;;;x,,,,,,,
dmitri_mendeleev_desc;迪米特里·伊万诺维奇·门捷列夫是一名俄国化学家和发明家。他因发现第一版化学元素周期表而被人赞颂。利用周期表，他推测出了一些尚未被发现的化学元素的性质;;;;;;;;;;;;x,,,,,,
the_periodic_table;元素周期表;;;;;;;;;;;;x,,,,,,,
the_periodic_table_desc;化学元素周期表将化学元素通过表格的形式展现出来。尽管有着其他的前驱者，这一发现一般都归功于俄国化学家迪米特里??门捷列夫，因为他有意识地将化学元素性质变化的趋势表现在这张图表中了;;;;;;;;;;;;x,,,,,
lenin;弗拉基米尔·列宁;;;;;;;;;;;;x,,,,,,,
lenin_desc;弗拉基米尔·伊里奇·列宁是一名俄国马克思主义革命家，作家，律师，理论经济学家，政治哲学家，同时也是苏联共产党的创立者和1917年十月革命的领导者。作为一名理论家，他在马克思主义上有着广泛的理论和哲思，从而产生了列宁主义;;;;;;;;;;;;x,,
trotsky;列夫·托洛茨基;;;;;;;;;;;;x,,,,,,,
trotsky_desc;列夫·托洛茨基是一名布尔什维克革命家和马克思主义理论家。托洛茨基是俄国十月革命的领导者之一，仅次于弗拉基米尔??列宁;;;;;;;;;;;;x,,,,,,
mussolini;贝尼托·墨索里尼;;;;;;;;;;;;x,,,,,,,
mussolini_desc;本内托·阿米凯尔·安德烈·墨索里尼是一名意大利政治家，他领导了国际法西斯组织并被认为是创立法西斯主义的关键人物之一;;;;;;;;;;;;x,,,,,,,
prophylactics;避孕措施;;;;;;;;;;;;x,,,,,,,
prophylactics_desc;现代节育技术给人口出生率带来了重大的影响，市民们（尤其是那些富人们）可以更好地调整生育的时间和数量;;;;;;;;;;;;x,,,,,,
joseph_lister;约瑟夫·利斯特;;;;;;;;;;;;x,,,,,,,
joseph_lister_desc;约瑟夫·李斯特是一名英国外科医生，同时也是无菌手术的倡导者，他在格拉斯哥皇家医院工作时就提出了无菌手术的观点。他成功将苯酚引进无菌手术器材的制造中，用其清理患者的伤口，以达到减少副作用和提高安全性的手术效果;;;;;;;;;;;;x,,,,,
louis_pasteur;路易·巴斯德;;;;;;;;;;;;x,,,,,,,
louis_pasteur_desc;路易·巴斯德是一名法国化学家与微生物学家，他在疾病产生与控制方面的突破性进展为世人所铭记。他的发现降低了产褥热的死亡率，同时他也是狂犬病和炭疽热疫苗的发明者。他最负盛名的成果便是巴氏杀菌法，一种将牛奶和葡萄酒加热以防变质的技术;;;;;;;;;;;;x,,,,,
robert_koch;罗伯特· 科赫;;;;;;;;;;;;x,,,,,,,
robert_koch_desc;罗伯特·科赫是一名普鲁士物理学家，他是微生物学的奠基者之一，启发了保罗??埃尔利希与格哈德??多马克之后的研究;;;;;;;;;;;;x,,,,,,
cholera_vaccine;霍乱菌苗;;;;;;;;;;;;x,,,,,,,
